date,warehouse,item,sales,marketing_expense,economic_indicator,competitor_pricing
1/1/2018,1,7,25,3153,105,94
1/2/2018,1,7,23,2557,127,98
1/3/2018,1,7,34,3286,129,95
1/4/2018,1,7,36,2550,127,92
1/5/2018,1,7,38,3494,108,96
1/6/2018,1,7,32,2947,122,92
1/7/2018,1,7,14,3046,116,92
1/8/2018,1,7,31,3412,136,94
1/9/2018,1,7,32,3208,129,91
1/10/2018,1,7,32,2688,134,94
1/11/2018,1,7,28,2700,115,93
1/12/2018,1,7,35,2864,127,96
1/13/2018,1,7,44,2691,125,93
1/14/2018,1,7,17,3037,125,98
1/15/2018,1,7,34,2899,108,95
1/16/2018,1,7,35,3188,117,91
1/17/2018,1,7,32,2639,122,98
1/18/2018,1,7,34,3183,132,92
1/19/2018,1,7,34,2923,138,94
1/20/2018,1,7,42,3373,105,94
1/21/2018,1,7,15,2718,130,97
1/22/2018,1,7,21,2518,126,95
1/23/2018,1,7,24,3479,137,97
1/24/2018,1,7,30,2745,113,93
1/25/2018,1,7,30,3353,123,91
1/26/2018,1,7,38,2817,114,91
1/27/2018,1,7,34,2852,116,98
1/28/2018,1,7,23,3108,113,93
1/29/2018,1,7,28,3276,118,95
1/30/2018,1,7,25,3188,115,91
1/31/2018,1,7,31,2632,106,92
2/1/2018,1,7,38,3460,120,98
2/2/2018,1,7,42,2655,130,92
2/3/2018,1,7,28,3244,117,91
2/4/2018,1,7,33,2544,107,94
2/5/2018,1,7,21,2774,127,97
2/6/2018,1,7,38,2740,126,96
2/7/2018,1,7,43,2678,101,97
2/8/2018,1,7,40,2859,104,96
2/9/2018,1,7,41,3336,102,92
2/10/2018,1,7,36,3254,106,93
2/11/2018,1,7,31,3296,136,96
2/12/2018,1,7,22,3094,118,94
2/13/2018,1,7,27,2570,121,96
2/14/2018,1,7,29,3024,116,94
2/15/2018,1,7,30,2878,122,96
2/16/2018,1,7,52,3064,133,97
2/17/2018,1,7,47,3238,105,93
2/18/2018,1,7,34,3297,116,97
2/19/2018,1,7,30,3256,138,93
2/20/2018,1,7,27,3375,103,96
2/21/2018,1,7,29,2920,104,94
2/22/2018,1,7,31,2707,102,94
2/23/2018,1,7,43,3371,134,95
2/24/2018,1,7,38,3302,136,96
2/25/2018,1,7,29,2667,124,95
2/26/2018,1,7,27,2848,136,91
2/27/2018,1,7,27,2754,119,97
2/28/2018,1,7,28,2797,127,97
3/1/2018,1,7,43,2774,107,91
3/2/2018,1,7,49,3030,123,95
3/3/2018,1,7,41,2985,112,93
3/4/2018,1,7,33,2736,123,93
3/5/2018,1,7,33,3045,102,97
3/6/2018,1,7,48,3059,115,97
3/7/2018,1,7,40,2514,124,92
3/8/2018,1,7,42,3376,134,93
3/9/2018,1,7,51,3033,124,95
3/10/2018,1,7,41,2536,120,93
3/11/2018,1,7,41,3338,128,93
3/12/2018,1,7,39,2812,110,96
3/13/2018,1,7,43,2992,133,91
3/14/2018,1,7,32,3154,126,91
3/15/2018,1,7,49,2775,104,92
3/16/2018,1,7,52,2900,124,96
3/17/2018,1,7,50,2968,133,92
3/18/2018,1,7,29,2879,110,95
3/19/2018,1,7,43,3035,126,97
3/20/2018,1,7,21,2528,117,92
3/21/2018,1,7,38,3027,102,94
3/22/2018,1,7,37,2904,130,97
3/23/2018,1,7,46,2643,134,96
3/24/2018,1,7,38,3288,132,97
3/25/2018,1,7,32,2707,120,93
3/26/2018,1,7,41,2864,136,92
3/27/2018,1,7,41,2877,136,94
3/28/2018,1,7,45,3161,103,94
3/29/2018,1,7,44,3421,104,97
3/30/2018,1,7,53,2662,116,98
3/31/2018,1,7,56,3358,105,92
4/1/2018,1,7,35,2508,105,94
4/2/2018,1,7,47,2921,102,92
4/3/2018,1,7,53,3107,130,96
4/4/2018,1,7,46,3365,122,94
4/5/2018,1,7,43,2860,136,97
4/6/2018,1,7,64,2671,115,91
4/7/2018,1,7,45,3318,116,97
4/8/2018,1,7,40,3396,135,91
4/9/2018,1,7,32,2743,111,98
4/10/2018,1,7,47,3140,101,94
4/11/2018,1,7,50,2974,107,96
4/12/2018,1,7,38,2645,123,93
4/13/2018,1,7,59,2946,102,98
4/14/2018,1,7,55,2506,121,91
4/15/2018,1,7,39,3289,111,91
4/16/2018,1,7,42,3480,106,93
4/17/2018,1,7,40,2780,120,98
4/18/2018,1,7,43,3281,131,94
4/19/2018,1,7,39,3304,106,94
4/20/2018,1,7,64,2509,122,92
4/21/2018,1,7,55,3437,129,98
4/22/2018,1,7,42,2898,113,91
4/23/2018,1,7,36,3188,101,98
4/24/2018,1,7,55,2965,121,91
4/25/2018,1,7,49,2514,108,93
4/26/2018,1,7,44,2604,116,97
4/27/2018,1,7,42,3341,125,97
4/28/2018,1,7,46,2774,114,93
4/29/2018,1,7,56,2921,103,96
4/30/2018,1,7,40,3290,135,97
5/1/2018,1,7,46,2756,132,98
5/2/2018,1,7,53,2799,128,93
5/3/2018,1,7,51,3289,106,97
5/4/2018,1,7,54,2988,112,96
5/5/2018,1,7,57,3054,111,98
5/6/2018,1,7,51,3204,123,91
5/7/2018,1,7,60,3297,105,93
5/8/2018,1,7,50,2711,104,94
5/9/2018,1,7,37,2501,113,93
5/10/2018,1,7,51,2795,110,98
5/11/2018,1,7,60,3358,138,95
5/12/2018,1,7,60,3445,130,96
5/13/2018,1,7,47,2529,137,97
5/14/2018,1,7,44,3360,138,98
5/15/2018,1,7,62,3083,131,94
5/16/2018,1,7,54,3453,133,98
5/17/2018,1,7,61,3479,132,98
5/18/2018,1,7,58,2555,113,93
5/19/2018,1,7,62,3464,125,95
5/20/2018,1,7,48,3334,120,98
5/21/2018,1,7,41,3051,104,91
5/22/2018,1,7,46,2867,130,95
5/23/2018,1,7,48,3062,120,96
5/24/2018,1,7,57,2799,104,97
5/25/2018,1,7,59,2782,113,98
5/26/2018,1,7,68,3290,123,93
5/27/2018,1,7,34,2883,104,98
5/28/2018,1,7,56,2624,103,94
5/29/2018,1,7,49,2988,110,98
5/30/2018,1,7,49,3054,120,91
5/31/2018,1,7,53,3220,119,98
6/1/2018,1,7,64,2956,113,91
6/2/2018,1,7,52,3287,120,94
6/3/2018,1,7,39,3148,124,96
6/4/2018,1,7,47,3465,134,92
6/5/2018,1,7,37,2686,114,95
6/6/2018,1,7,62,2781,106,95
6/7/2018,1,7,40,3462,108,92
6/8/2018,1,7,62,3011,112,95
6/9/2018,1,7,68,2850,126,92
6/10/2018,1,7,53,2966,132,97
6/11/2018,1,7,47,3438,132,97
6/12/2018,1,7,49,3479,109,96
6/13/2018,1,7,41,2766,121,94
6/14/2018,1,7,60,2655,132,95
6/15/2018,1,7,61,2597,101,98
6/16/2018,1,7,58,2973,136,94
6/17/2018,1,7,34,2638,134,91
6/18/2018,1,7,53,2712,128,91
6/19/2018,1,7,52,3343,129,92
6/20/2018,1,7,47,3430,129,92
6/21/2018,1,7,58,2823,133,97
6/22/2018,1,7,58,3041,103,96
6/23/2018,1,7,79,3139,113,96
6/24/2018,1,7,33,2968,136,94
6/25/2018,1,7,44,3240,102,97
6/26/2018,1,7,40,3138,134,91
6/27/2018,1,7,52,2674,128,95
