date,item,sales,marketing_expense,economic_indicator,competitor_pricing
1/1/2018,1,13,3492,106,90
1/2/2018,1,11,3067,108,92
1/3/2018,1,14,2616,102,98
1/4/2018,1,13,2505,130,94
1/5/2018,1,10,2711,122,98
1/6/2018,1,12,2979,101,98
1/7/2018,1,10,2859,126,94
1/8/2018,1,9,3575,138,98
1/9/2018,1,12,3236,104,97
1/10/2018,1,9,3325,110,94
1/11/2018,1,9,3346,130,93
1/12/2018,1,7,3893,123,98
1/13/2018,1,10,3880,122,92
1/14/2018,1,12,2831,110,97
1/15/2018,1,5,3364,106,93
1/16/2018,1,7,3667,124,90
1/17/2018,1,16,3476,107,96
1/18/2018,1,7,2556,124,97
1/19/2018,1,18,2690,106,97
1/20/2018,1,15,3555,135,98
1/21/2018,1,8,2594,114,90
1/22/2018,1,7,3261,111,90
1/23/2018,1,9,3586,140,93
1/24/2018,1,8,3166,124,95
1/25/2018,1,14,3098,105,92
1/26/2018,1,12,3139,102,96
1/27/2018,1,12,2510,135,95
1/28/2018,1,11,3406,118,96
1/29/2018,1,6,3185,136,94
1/30/2018,1,9,2927,124,97
1/31/2018,1,13,2779,133,97
2/1/2018,1,11,2633,140,94
2/2/2018,1,21,3122,130,95
2/3/2018,1,15,3507,139,91
2/4/2018,1,14,3582,131,90
2/5/2018,1,9,3505,120,98
2/6/2018,1,10,2901,130,90
2/7/2018,1,13,3398,133,93
2/8/2018,1,11,3955,140,98
2/9/2018,1,14,2544,127,96
2/10/2018,1,11,2903,112,95
2/11/2018,1,16,3967,136,91
2/12/2018,1,11,2874,118,91
2/13/2018,1,14,3837,104,97
2/14/2018,1,10,3007,136,92
2/15/2018,1,11,2671,139,94
2/16/2018,1,7,3928,110,94
2/17/2018,1,11,2665,130,90
2/18/2018,1,10,2605,115,90
2/19/2018,1,10,2553,105,92
2/20/2018,1,7,3940,115,92
2/21/2018,1,13,2785,139,90
2/22/2018,1,12,2822,129,98
2/23/2018,1,15,3937,118,96
2/24/2018,1,11,2701,106,91
2/25/2018,1,7,3705,136,90
2/26/2018,1,9,2568,103,92
2/27/2018,1,9,2672,102,91
2/28/2018,1,10,2679,129,93
