date,warehouse,item,units,sales
1/1/2018,1,1,13,910
1/2/2018,1,1,11,770
1/3/2018,1,1,14,980
1/4/2018,1,1,13,910
1/5/2018,1,1,10,700
1/6/2018,1,1,12,840
1/7/2018,1,1,10,700
1/8/2018,1,1,9,630
1/9/2018,1,1,12,840
1/10/2018,1,1,9,630
1/11/2018,1,1,9,630
1/12/2018,1,1,7,490
1/13/2018,1,1,10,700
1/14/2018,1,1,12,840
1/15/2018,1,1,5,350
1/16/2018,1,1,7,490
1/17/2018,1,1,16,1120
1/18/2018,1,1,7,490
1/19/2018,1,1,18,1260
1/20/2018,1,1,15,1050
1/21/2018,1,1,8,560
1/22/2018,1,1,7,490
1/23/2018,1,1,9,630
1/24/2018,1,1,8,560
1/25/2018,1,1,14,980
1/26/2018,1,1,12,840
1/27/2018,1,1,12,840
1/28/2018,1,1,11,770
1/29/2018,1,1,6,420
1/30/2018,1,1,9,630
1/31/2018,1,1,13,910
2/1/2018,1,1,11,770
2/2/2018,1,1,21,1470
2/3/2018,1,1,15,1050
2/4/2018,1,1,14,980
2/5/2018,1,1,9,630
2/6/2018,1,1,10,700
2/7/2018,1,1,13,910
2/8/2018,1,1,11,770
2/9/2018,1,1,14,980
2/10/2018,1,1,11,770
2/11/2018,1,1,16,1120
2/12/2018,1,1,11,770
2/13/2018,1,1,14,980
2/14/2018,1,1,10,700
2/15/2018,1,1,11,770
2/16/2018,1,1,7,490
2/17/2018,1,1,11,770
2/18/2018,1,1,10,700
2/19/2018,1,1,10,700
2/20/2018,1,1,7,490
2/21/2018,1,1,13,910
2/22/2018,1,1,12,840
2/23/2018,1,1,15,1050
2/24/2018,1,1,11,770
2/25/2018,1,1,7,490
2/26/2018,1,1,9,630
2/27/2018,1,1,9,630
2/28/2018,1,1,10,700
3/1/2018,1,1,15,1050
3/2/2018,1,1,13,910
3/3/2018,1,1,20,1400
3/4/2018,1,1,14,980
3/5/2018,1,1,13,910
3/6/2018,1,1,17,1190
3/7/2018,1,1,11,770
3/8/2018,1,1,15,1050
3/9/2018,1,1,16,1120
3/10/2018,1,1,11,770
3/11/2018,1,1,18,1260
3/12/2018,1,1,14,980
3/13/2018,1,1,13,910
3/14/2018,1,1,10,700
3/15/2018,1,1,14,980
3/16/2018,1,1,10,700
3/17/2018,1,1,22,1540
3/18/2018,1,1,11,770
3/19/2018,1,1,19,1330
3/20/2018,1,1,14,980
3/21/2018,1,1,17,1190
3/22/2018,1,1,21,1470
3/23/2018,1,1,21,1470
3/24/2018,1,1,19,1330
3/25/2018,1,1,13,910
3/26/2018,1,1,16,1120
3/27/2018,1,1,11,770
3/28/2018,1,1,13,910
3/29/2018,1,1,17,1190
3/30/2018,1,1,19,1330
3/31/2018,1,1,20,1400
4/1/2018,1,1,11,770
4/2/2018,1,1,19,1330
4/3/2018,1,1,24,1680
4/4/2018,1,1,18,1260
4/5/2018,1,1,19,1330
4/6/2018,1,1,23,1610
4/7/2018,1,1,17,1190
4/8/2018,1,1,19,1330
4/9/2018,1,1,13,910
4/10/2018,1,1,19,1330
4/11/2018,1,1,16,1120
4/12/2018,1,1,18,1260
4/13/2018,1,1,17,1190
4/14/2018,1,1,26,1820
4/15/2018,1,1,14,980
4/16/2018,1,1,9,630
4/17/2018,1,1,17,1190
4/18/2018,1,1,21,1470
4/19/2018,1,1,22,1540
4/20/2018,1,1,22,1540
4/21/2018,1,1,20,1400
4/22/2018,1,1,13,910
4/23/2018,1,1,11,770
4/24/2018,1,1,13,910
4/25/2018,1,1,14,980
4/26/2018,1,1,20,1400
4/27/2018,1,1,22,1540
4/28/2018,1,1,19,1330
4/29/2018,1,1,11,770
4/30/2018,1,1,15,1050
5/1/2018,1,1,16,1120
5/2/2018,1,1,23,1610
5/3/2018,1,1,22,1540
5/4/2018,1,1,20,1400
5/5/2018,1,1,14,980
5/6/2018,1,1,14,980
5/7/2018,1,1,15,1050
5/8/2018,1,1,14,980
5/9/2018,1,1,11,770
5/10/2018,1,1,16,1120
5/11/2018,1,1,19,1330
5/12/2018,1,1,13,910
5/13/2018,1,1,9,630
5/14/2018,1,1,13,910
5/15/2018,1,1,16,1120
5/16/2018,1,1,15,1050
5/17/2018,1,1,16,1120
5/18/2018,1,1,20,1400
5/19/2018,1,1,19,1330
5/20/2018,1,1,14,980
5/21/2018,1,1,24,1680
5/22/2018,1,1,23,1610
5/23/2018,1,1,14,980
5/24/2018,1,1,24,1680
5/25/2018,1,1,25,1750
5/26/2018,1,1,27,1890
5/27/2018,1,1,7,490
5/28/2018,1,1,12,840
5/29/2018,1,1,10,700
5/30/2018,1,1,19,1330
5/31/2018,1,1,27,1890
6/1/2018,1,1,26,1820
6/2/2018,1,1,22,1540
6/3/2018,1,1,12,840
6/4/2018,1,1,15,1050
6/5/2018,1,1,24,1680
6/6/2018,1,1,9,630
6/7/2018,1,1,21,1470
6/8/2018,1,1,20,1400
6/9/2018,1,1,38,2660
6/10/2018,1,1,20,1400
6/11/2018,1,1,18,1260
6/12/2018,1,1,22,1540
6/13/2018,1,1,21,1470
6/14/2018,1,1,22,1540
6/15/2018,1,1,26,1820
6/16/2018,1,1,23,1610
6/17/2018,1,1,13,910
6/18/2018,1,1,21,1470
6/19/2018,1,1,18,1260
6/20/2018,1,1,24,1680
6/21/2018,1,1,19,1330
6/22/2018,1,1,23,1610
6/23/2018,1,1,24,1680
6/24/2018,1,1,17,1190
6/25/2018,1,1,21,1470
6/26/2018,1,1,21,1470
6/27/2018,1,1,26,1820
6/28/2018,1,1,17,1190
6/29/2018,1,1,20,1400
6/30/2018,1,1,24,1680
7/1/2018,1,1,23,1610
7/2/2018,1,1,17,1190
7/3/2018,1,1,12,840
7/4/2018,1,1,24,1680
7/5/2018,1,1,17,1190
7/6/2018,1,1,16,1120
7/7/2018,1,1,34,2380
7/8/2018,1,1,20,1400
7/9/2018,1,1,23,1610
7/10/2018,1,1,14,980
7/11/2018,1,1,25,1750
7/12/2018,1,1,29,2030
7/13/2018,1,1,22,1540
7/14/2018,1,1,29,2030
7/15/2018,1,1,18,1260
7/16/2018,1,1,12,840
7/17/2018,1,1,16,1120
7/18/2018,1,1,21,1470
7/19/2018,1,1,25,1750
7/20/2018,1,1,25,1750
7/21/2018,1,1,26,1820
7/22/2018,1,1,18,1260
7/23/2018,1,1,17,1190
7/24/2018,1,1,21,1470
7/25/2018,1,1,21,1470
7/26/2018,1,1,31,2170
7/27/2018,1,1,19,1330
7/28/2018,1,1,25,1750
7/29/2018,1,1,8,560
7/30/2018,1,1,26,1820
7/31/2018,1,1,27,1890
8/1/2018,1,1,21,1470
8/2/2018,1,1,19,1330
8/3/2018,1,1,24,1680
8/4/2018,1,1,26,1820
8/5/2018,1,1,17,1190
8/6/2018,1,1,10,700
8/7/2018,1,1,25,1750
8/8/2018,1,1,20,1400
8/9/2018,1,1,19,1330
8/10/2018,1,1,22,1540
8/11/2018,1,1,25,1750
8/12/2018,1,1,10,700
8/13/2018,1,1,11,770
8/14/2018,1,1,19,1330
8/15/2018,1,1,22,1540
8/16/2018,1,1,15,1050
8/17/2018,1,1,29,2030
8/18/2018,1,1,27,1890
8/19/2018,1,1,11,770
8/20/2018,1,1,15,1050
8/21/2018,1,1,20,1400
8/22/2018,1,1,20,1400
8/23/2018,1,1,19,1330
8/24/2018,1,1,19,1330
8/25/2018,1,1,23,1610
8/26/2018,1,1,11,770
8/27/2018,1,1,16,1120
8/28/2018,1,1,20,1400
8/29/2018,1,1,14,980
8/30/2018,1,1,20,1400
8/31/2018,1,1,25,1750
9/1/2018,1,1,25,1750
9/2/2018,1,1,10,700
9/3/2018,1,1,16,1120
9/4/2018,1,1,10,700
9/5/2018,1,1,16,1120
9/6/2018,1,1,20,1400
9/7/2018,1,1,20,1400
9/8/2018,1,1,19,1330
9/9/2018,1,1,15,1050
9/10/2018,1,1,17,1190
9/11/2018,1,1,26,1820
9/12/2018,1,1,14,980
9/13/2018,1,1,16,1120
9/14/2018,1,1,27,1890
9/15/2018,1,1,14,980
9/16/2018,1,1,16,1120
9/17/2018,1,1,20,1400
9/18/2018,1,1,18,1260
9/19/2018,1,1,16,1120
9/20/2018,1,1,11,770
9/21/2018,1,1,13,910
9/22/2018,1,1,16,1120
9/23/2018,1,1,18,1260
9/24/2018,1,1,14,980
9/25/2018,1,1,17,1190
9/26/2018,1,1,20,1400
9/27/2018,1,1,22,1540
9/28/2018,1,1,13,910
9/29/2018,1,1,20,1400
9/30/2018,1,1,20,1400
10/1/2018,1,1,12,840
10/2/2018,1,1,11,770
10/3/2018,1,1,14,980
10/4/2018,1,1,14,980
10/5/2018,1,1,14,980
10/6/2018,1,1,20,1400
10/7/2018,1,1,13,910
10/8/2018,1,1,13,910
10/9/2018,1,1,14,980
